""	"Subtype1-Subtype2"	"Subtype1-Subtype3"	"Subtype1-Subtype4"	"Subtype1-Subtype5"	"Subtype1-Subtype6"	"Subtype2-Subtype3"	"Subtype2-Subtype4"	"Subtype2-Subtype5"	"Subtype2-Subtype6"	"Subtype3-Subtype4"	"Subtype3-Subtype5"	"Subtype3-Subtype6"	"Subtype4-Subtype5"	"Subtype4-Subtype6"	"Subtype5-Subtype6"
"AATK"	0.91062420136557	0.643282782591834	0.699880971600159	0.0802571569217508	0.359264954583886	0.729534240648477	0.80883634949129	0.272789679600875	0.62116544010109	0.831112755469247	0.232358693089684	0.774318046868222	0.187819405489127	0.639916817422253	0.4615324603943
"ABAT"	0.000180215007355839	0.0214521796334667	0.00243087544421711	0.26612243288955	0.000974853243874179	0.0747545259511525	0.163246862093562	0.0150215690801866	0.317075315782207	0.63656876789435	0.388961553808382	0.383992703751441	0.242604949856248	0.724879895875629	0.147899299639931
"ABCA1"	0.000500660293838913	0.000466956488553723	0.250348430463762	0.537989510065623	0.00421491025253084	0.498373456901911	0.0134289108915568	0.000216781864220107	0.292722782469586	0.00746372093279644	0.00010924724238981	0.578097640992284	0.117222936820103	0.109867406970856	0.00335321888278599
"ABCA10"	0.588032837729717	0.675556917575056	0.102252697352114	0.949637632501301	0.0451344746043708	0.385727853819449	0.114748412247359	0.638191928552866	0.0680380998260068	0.266497285432489	0.540340194376977	0.133278466943376	0.129588923821985	0.674749658643888	0.0694376558130163
"ABCA12"	0.196734386292587	0.774621564418157	0.945515688929033	0.904807268918211	0.0313368796503359	0.369428869926534	0.263369625219671	0.203514332160624	0.860449432152752	0.747291125507627	0.633914303266515	0.0679699322886954	0.872100103352181	0.044830118460638	0.0690552856583073
"ABCA13"	0.816506370309484	0.957361473635047	0.14188379963492	0.643445155385779	5.95049999265111e-05	0.878644818902596	0.530476460377839	0.909911142804755	0.008936708823121	0.136402786824075	0.674508705782048	4.45721146490029e-05	0.534003779399007	0.00864140241253437	0.00470600313365581
"ABCA2"	0.0101081962553238	0.108012448704921	0.000154332252385506	0.000207703497524378	0.00320877249492284	0.273534380861978	0.965644514593694	0.65215530149699	0.806845306064589	0.0411851778556066	0.0237455784109484	0.239284278989168	0.615462490609557	0.627627303197885	0.357389786724094
"ABCA3"	0.0470299054247694	0.130149496533117	0.000717228588640344	0.0150375321449688	2.95459511787948e-05	0.535689407522458	0.823067398112923	0.960524319648546	0.397075027767028	0.091183983888926	0.322901172933483	0.00898059290469535	0.81646794894723	0.387180037227273	0.336718036482401
"ABCA5"	0.000250623007051545	0.0820675382802144	0.730667169349563	0.369300293249987	0.655487502059055	0.0381295395801626	0.00107515076189135	4.56680709032137e-05	0.000142857969882812	0.0996980180729997	0.0070165128907305	0.0129915182119236	0.242860712350302	0.451121701780495	0.70384374393133
"ABCA6"	3.71815205202583e-05	0.376203668998186	5.44874496094422e-13	6.75996902771006e-08	7.11084616557026e-09	0.00143770943711242	0.247678332149914	0.645287425965856	0.829779586425578	1.05883362789105e-11	2.36306291530415e-06	6.09584238035791e-07	0.461545099843823	0.215283918382135	0.817237830389895
"ABCA7"	0.00474799340757351	0.715136592891489	0.459926951238598	0.00317068179199503	0.04605798735284	0.0208728164614916	0.0355754223847783	0.84919941231967	0.295854442830423	0.805779784216742	0.00905276429419334	0.127629238522598	0.0279049545587935	0.258673056793227	0.33484946124061
"ABCA8"	1.16078959043106e-07	0.00609654366608639	2.03590958769147e-11	6.52989051225538e-07	5.44473615160706e-10	0.00157824819976962	0.79950088843355	0.406771388346344	0.70741852503575	9.74261462803801e-06	0.00671887956899917	0.000139618540657706	0.526750149085901	0.87550737335925	0.677058064926961
"ABCA9"	0.0295771572709873	0.0562804069398028	0.000787330281065526	0.0195098674198364	0.0172938872491484	0.514815931504629	0.75764681096824	0.83421311938212	0.800813328544151	0.0835093306851219	0.537682690825839	0.609317420330306	0.453399776127982	0.377174236686032	0.941082296869783
"ABCB1"	0.417451650451752	0.877162995269831	0.0165235858528882	0.0215501834866906	0.173721981981213	0.362015082313453	0.558135583651392	0.383562573593828	0.929857824509344	0.00405966055259254	0.0085275356096563	0.0942152671595775	0.788679208305438	0.479986013591237	0.383630208809022
"ABCB10"	0.507447596614066	0.837832934399462	0.30499676748741	0.321052658794759	0.715717763701941	0.695725000851671	0.181495615885386	0.921729962914553	0.762120906299698	0.139799897054714	0.441881378642281	0.924533213870877	0.0640724253824206	0.18822245332426	0.602671910625275
"ABCB6"	0.0136173267606978	0.0410070547186948	0.159912415409346	0.000267017019578725	0.745032563273834	0.480417329180309	0.000552824642631902	0.62520890543773	0.0532145274539466	5.41560863761634e-05	0.0689456689728055	0.075756022920517	2.18775930659744e-06	0.102355692455598	0.00225627912136459
"ABCB7"	0.957216770806839	0.515934148074266	0.206928592175348	0.343221881833999	0.143661231142116	0.597526293318605	0.510525664415306	0.532234592264726	0.338320318399697	0.0181778854725379	0.0755139358399798	0.524104626042582	0.965886923993511	0.00720110098850517	0.0357155452983416
"ABCB8"	0.710464131296614	0.968835611748583	0.174353225329604	0.0567257596642954	0.950976771608075	0.714417854442398	0.709038396500672	0.0613837814609704	0.791607416173133	0.120779103673757	0.0527027363013113	0.905012795274125	0.0023812500098566	0.264286724284271	0.0762858444603064
"ABCB9"	0.723942427772116	0.955817313775262	0.967926897261237	0.751270941344201	0.820629058386045	0.795506980784818	0.747313016712729	0.938868104283568	0.88508840643806	0.896165435106177	0.786832111649841	0.876480122113609	0.744976951772431	0.804136396516903	0.929285724370123
"ABCC1"	0.644380433697916	0.939437598274964	0.47762444294331	0.0934414701964837	1.07632894918383e-07	0.624794283283703	0.36786622755585	0.462644001967459	1.5388680598457e-05	0.529471701460543	0.0603168583948252	9.00701838295805e-08	0.0226466494451997	4.08780367638283e-06	3.54835412964949e-09
"ABCC10"	0.00979590149193673	0.0248609457020017	0.000342998249390771	1.35698903799282e-06	0.00175586832210184	0.497289043517908	0.964099041894054	0.176215217443582	0.876304567451867	0.263663987821352	0.00299706264191182	0.45192131186139	0.0652294673425332	0.865430016174437	0.0565682134280674
"ABCC2"	0.00430819781199579	0.813335957687572	0.000229636004717161	0.443071783719951	0.71793123608583	0.0103462457057611	0.801341581139958	0.0017406758569169	0.00363477600350899	0.000135116618376481	0.262268120470969	0.460240594547769	0.000408613893108645	0.000142350506576974	0.719392629145333
"ABCC3"	0.00489086829384091	1.94414921468402e-05	1.64890599283751e-05	5.34341618432896e-13	4.36431312611527e-13	0.801962573098244	0.892602779705975	0.000596038162472472	0.00548052898504378	0.854304863000777	3.94281681143784e-05	0.000218901759352476	5.11670086605842e-05	0.000223221834504835	0.500482189757006
"ABCC4"	0.00934959178171127	0.159218478220399	0.417029123509418	5.15850569105854e-06	0.0508175473200646	0.207370358952605	0.00162817554821107	0.270139981500167	0.386476556655859	0.0061601481276177	0.000774859250195543	0.704434615780846	2.31158915581361e-07	0.00605497282049377	0.009129814972958
"ABCC5"	0.590628203953799	0.937890972116223	0.695477039964891	0.972316376053915	1.25459600309813e-11	0.691826811831462	0.453039049408869	0.612813289634376	1.39045169432918e-08	0.575131613997159	0.890933089645181	1.51409364380735e-12	0.804929981320353	6.2424171918648e-11	1.16278458879161e-08
"ABCC6"	0.00173390446906519	0.00624119059664773	3.71138582623722e-05	1.99997721510825e-06	4.87804126411088e-07	0.391466398398628	0.892444163592445	0.424546965460206	0.622412653353782	0.233399550952087	0.0138154985232874	0.0172816111802245	0.194466281701757	0.285034532678309	0.797728200571159
"ABCC9"	0.0250592062656971	0.877038247459376	3.82310049324769e-05	0.00297600636215282	0.000207953978780552	0.0204989866800685	0.656742827337664	0.845111958974993	0.73281664097946	2.95050335646551e-06	0.000911926041005691	4.20143377420994e-05	0.76616460137197	0.905034956892658	0.869640584522979
