"cell_genes"	"cell_type"	"k"
"PPIL6"	"Ciliated"	"Cluster 2"
"FAM166B"	"Ciliated"	"Cluster 2"
"C6orf118"	"Ciliated"	"Cluster 2"
"CCDC74A"	"Ciliated"	"Cluster 2"
"NUDC"	"Ciliated"	"Cluster 2"
"STK33"	"Ciliated"	"Cluster 2"
"MNS1"	"Ciliated"	"Cluster 2"
"IQCG"	"Ciliated"	"Cluster 2"
"CCDC181"	"Ciliated"	"Cluster 2"
"OSCP1"	"Ciliated"	"Cluster 2"
"RSPH4A"	"Ciliated"	"Cluster 2"
"PRR29"	"Ciliated"	"Cluster 2"
"SPEF1"	"Ciliated"	"Cluster 2"
"FAM174A"	"Ciliated"	"Cluster 2"
"ARMC3"	"Ciliated"	"Cluster 2"
"DYDC2"	"Ciliated"	"Cluster 2"
"CCDC39"	"Ciliated"	"Cluster 2"
"DYNLT1"	"Ciliated"	"Cluster 2"
"WDR78"	"Ciliated"	"Cluster 2"
"CTXN1"	"Ciliated"	"Cluster 2"
"SAXO2"	"Ciliated"	"Cluster 2"
"SRI"	"Ciliated"	"Cluster 2"
"MAPK15"	"Ciliated"	"Cluster 2"
"CCDC113"	"Ciliated"	"Cluster 2"
"CFAP52"	"Ciliated"	"Cluster 2"
"HSBP1"	"Ciliated"	"Cluster 2"
"TMEM231"	"Ciliated"	"Cluster 2"
"DNAAF1"	"Ciliated"	"Cluster 2"
"RIIAD1"	"Ciliated"	"Cluster 2"
"FAM227A"	"Ciliated"	"Cluster 2"
"PACRG"	"Ciliated"	"Cluster 2"
"CFAP45"	"Ciliated"	"Cluster 2"
"ENKUR"	"Ciliated"	"Cluster 2"
"DNAH7"	"Ciliated"	"Cluster 2"
"LRRC48"	"Ciliated"	"Cluster 2"
"CD59"	"Ciliated"	"Cluster 2"
"UBXN10"	"Ciliated"	"Cluster 2"
"DAW1"	"Ciliated"	"Cluster 2"
"C10orf107"	"Ciliated"	"Cluster 2"
"DRC1"	"Ciliated"	"Cluster 2"
"GPR162"	"Ciliated"	"Cluster 2"
"DNAI2"	"Ciliated"	"Cluster 2"
"DCDC2B"	"Ciliated"	"Cluster 2"
"HYDIN"	"Ciliated"	"Cluster 2"
"UBXN11"	"Ciliated"	"Cluster 2"
"EFCAB10"	"Ciliated"	"Cluster 2"
"CCDC176"	"Ciliated"	"Cluster 2"
"ZBBX"	"Ciliated"	"Cluster 2"
"DNAH6"	"Ciliated"	"Cluster 2"
"ANKRD66"	"Ciliated"	"Cluster 2"
"CTSS"	"Ciliated"	"Cluster 2"
"SPEF2"	"Ciliated"	"Cluster 2"
"CDS1"	"Ciliated"	"Cluster 2"
"TAX1BP1"	"Ciliated"	"Cluster 2"
"DNAAF3"	"Ciliated"	"Cluster 2"
"SPAG8"	"Ciliated"	"Cluster 2"
"MAATS1"	"Ciliated"	"Cluster 2"
"FAM65B"	"Ciliated"	"Cluster 2"
"B9D1"	"Ciliated"	"Cluster 2"
"AKAP14"	"Ciliated"	"Cluster 2"
"STMND1"	"Ciliated"	"Cluster 2"
"CCDC65"	"Ciliated"	"Cluster 2"
"SPAG16"	"Ciliated"	"Cluster 2"
"STOML3"	"Ciliated"	"Cluster 2"
"DNPH1"	"Ciliated"	"Cluster 2"
"RGS22"	"Ciliated"	"Cluster 2"
"DZIP3"	"Ciliated"	"Cluster 2"
"VWA3B"	"Ciliated"	"Cluster 2"
"IFT22"	"Ciliated"	"Cluster 2"
"C14orf142"	"Ciliated"	"Cluster 2"
"TMC5"	"Ciliated"	"Cluster 2"
"C6orf165"	"Ciliated"	"Cluster 2"
"C6"	"Ciliated"	"Cluster 2"
"C22orf15"	"Ciliated"	"Cluster 2"
"TNFAIP8L1"	"Ciliated"	"Cluster 2"
"VSTM2L"	"Ciliated"	"Cluster 2"
"SSBP4"	"Ciliated"	"Cluster 2"
"CES1"	"Ciliated"	"Cluster 2"
"DNAH11"	"Ciliated"	"Cluster 2"
"CCDC74B"	"Ciliated"	"Cluster 2"
"TTC25"	"Ciliated"	"Cluster 2"
"C21orf58"	"Ciliated"	"Cluster 2"
"KCTD12"	"Ciliated"	"Cluster 2"
"HSPB11"	"Ciliated"	"Cluster 2"
"SCGB2A1"	"Ciliated"	"Cluster 2"
"MAP1B"	"Ciliated"	"Cluster 2"
"LRTOMT"	"Ciliated"	"Cluster 2"
"NQO1"	"Ciliated"	"Cluster 2"
