"cell_genes"	"cell_type"	"k"
"INADL"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ANO6"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"RHOF"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ATP11A"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"OCLN"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"TUBA4A"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ST6GALNAC5"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"VCL"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"RBMS3"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"PPP1R15A"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"FAM174B"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"LIMD1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"KLF13"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ITGB6"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"IL17RE"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"RARRES2"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"HSPA1A"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"MAGI3"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"MT2A"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"IL6R"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"BCAM"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"FBLN5"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"LDLR"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"BDNF"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"C1orf116"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"NEXN"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"SFN"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"LPIN2"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"HLA-C"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ERRFI1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"RCAN1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"AVPI1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"PDZK1IP1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"PEBP4"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"SESN1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"LAMB3"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"NPNT"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"NDRG1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"SDC4"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"SDPR"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"PLP2"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"FAM189A2"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"RHOBTB2"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"LBH"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"CTGF"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ATP13A4"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"KLF10"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"SULT2B1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"TMSB4X"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"C1orf167"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"GLS"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"SCNN1B"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ANGPTL4"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"SEMA3E"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"CKB"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"GOLGA8A"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"FAM46B"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"JUND"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"NGFRAP1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"TUBB"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"FMO2"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"RANBP17"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"GADD45B"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"HSPA1B"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"HSPB8"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"MT1L"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"CITED2"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"MT1M"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"EZR"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"GRAMD2"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ANKRD37"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"HYAL1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"CLDN4"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"NR4A1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ID1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"PTGS2"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ANKRD1"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"ZFP36"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"CCL2"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"PLAC8"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"PLAUR"	"Alveolar.Epithelial.Type.1"	"Cluster 13"
"SFTPC"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"NPC2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SFTPA1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"NAPSA"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SFTPA2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CTSH"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"PGC"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SFTPD"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"LAMP3"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"ABCA3"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CHI3L2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CA2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"DBI"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SERPINA1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"WIF1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"LRRK2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"C11orf96"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"NRGN"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SFTA2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"PLA2G1B"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"HHIP"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"PEBP4"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CPB2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"NNMT"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"MFSD2A"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SFTPB"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"HLA-DPB1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CHIAP2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CRTAC1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"C2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"MALL"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"MID1IP1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SLC22A31"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"FTL"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"HLA-DPA1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"AK1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"C4BPA"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"C16orf89"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"HLA-DRA"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"TMEM243"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"DRAM1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"LPCAT1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CXCL2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SFTA3"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CD74"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"C8orf4"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SLC34A2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"DMBT1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"FGGY"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"HLA-DRB1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SELENBP1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SDR16C5"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"TFPI"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"RND1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"FABP5"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"MUC1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"RGS16"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"ALPL"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"LGALSL"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"DCXR"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"NFKBIA"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"DUSP6"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SLC6A14"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"HLA-DRB5"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"AREG"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"HLA-DRB6"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CAT"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CEBPD"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"MSMO1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CITED2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"PLD3"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"ODC1"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"GADD45B"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SOCS2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"HP"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"FGG"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"STEAP4"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SOD2"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CSF3"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"CXCL3"	"Alveolar.Epithelial.Type.2"	"Cluster 14"
"SFTPC"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SFTPA2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SFTPA1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"NAPSA"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"NPC2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SFTPD"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"PGC"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"AK1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SLC34A2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"LRRK2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"FTL"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SFTA2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"MUC1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"ABCA3"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"LAMP3"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"DBI"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SFTPB"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"LPCAT1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"FASN"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"MALL"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"FGGY"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SCD"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"PEBP4"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"FABP5"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"DCXR"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"CTSH"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"PLA2G1B"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"HLA-DPB1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"LGALSL"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"CHIAP2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"NRGN"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"CACNA2D2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SFTA3"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"TMSB4X"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"ETV5"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SELENBP1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"DRAM1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"CA2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"CD74"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"LRRC36"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"ALPL"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"PMM1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"C16orf89"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"C2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"C8orf4"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SLC22A31"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"C11orf96"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"HLA-DPA1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"MID1IP1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"C3"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"C4BPA"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"SECISBP2L"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"CKS2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"NNMT"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"AQP1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"CRTAC1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"CHI3L2"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"RGS16"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"MFSD2A"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"WIF1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"DMBT1"	"Signaling.Alveolar.Epithelial.Type.2"	"Cluster 15"
"DKK2"	"Artery"	"Cluster 16"
"GJA5"	"Artery"	"Cluster 16"
"CXCL12"	"Artery"	"Cluster 16"
"SRGN"	"Artery"	"Cluster 16"
"MGP"	"Artery"	"Cluster 16"
"SERPINE2"	"Artery"	"Cluster 16"
"ARGLU1"	"Artery"	"Cluster 16"
"SRP14"	"Artery"	"Cluster 16"
"HEY1"	"Artery"	"Cluster 16"
"IGFBP3"	"Artery"	"Cluster 16"
"IFITM1"	"Artery"	"Cluster 16"
"ENPP2"	"Artery"	"Cluster 16"
"CTNNAL1"	"Artery"	"Cluster 16"
"SOX17"	"Artery"	"Cluster 16"
"LTBP4"	"Artery"	"Cluster 16"
"FBLN5"	"Artery"	"Cluster 16"
"SRPX"	"Artery"	"Cluster 16"
"TSPAN2"	"Artery"	"Cluster 16"
"IL33"	"Artery"	"Cluster 16"
"ATP1A1"	"Artery"	"Cluster 16"
"EFNB2"	"Artery"	"Cluster 16"
"BMX"	"Artery"	"Cluster 16"
"F2R"	"Artery"	"Cluster 16"
"CLDN10"	"Artery"	"Cluster 16"
"IDO1"	"Artery"	"Cluster 16"
"THSD7A"	"Artery"	"Cluster 16"
"CXCL2"	"Artery"	"Cluster 16"
"VEGFA"	"Artery"	"Cluster 16"
"CLEC3B"	"Artery"	"Cluster 16"
"F8"	"Artery"	"Cluster 16"
"FAM107A"	"Artery"	"Cluster 16"
"PTPRB"	"Artery"	"Cluster 16"
"HERPUD1"	"Artery"	"Cluster 16"
"TSPAN7"	"Artery"	"Cluster 16"
"LINC00551"	"Artery"	"Cluster 16"
"MMRN2"	"Artery"	"Cluster 16"
"AIF1L"	"Artery"	"Cluster 16"
"C10orf10"	"Artery"	"Cluster 16"
"TFPI"	"Artery"	"Cluster 16"
"PLLP"	"Artery"	"Cluster 16"
"ASRGL1"	"Artery"	"Cluster 16"
"CLIC3"	"Artery"	"Cluster 16"
"ID1"	"Artery"	"Cluster 16"
"IL11RA"	"Artery"	"Cluster 16"
"ATP13A3"	"Artery"	"Cluster 16"
"SEMA3G"	"Artery"	"Cluster 16"
"FGF18"	"Artery"	"Cluster 16"
"CLEC14A"	"Artery"	"Cluster 16"
"FBLIM1"	"Artery"	"Cluster 16"
"CKB"	"Artery"	"Cluster 16"
"MECOM"	"Artery"	"Cluster 16"
"PALLD"	"Artery"	"Cluster 16"
"HES4"	"Artery"	"Cluster 16"
"TM6SF1"	"Artery"	"Cluster 16"
"FBLN2"	"Artery"	"Cluster 16"
"GIMAP7"	"Artery"	"Cluster 16"
"MT1E"	"Artery"	"Cluster 16"
"SSTR1"	"Artery"	"Cluster 16"
"LDB2"	"Artery"	"Cluster 16"
"MT1A"	"Artery"	"Cluster 16"
"NPR3"	"Artery"	"Cluster 16"
"KCTD12"	"Artery"	"Cluster 16"
"PROCR"	"Artery"	"Cluster 16"
"HIF1A"	"Artery"	"Cluster 16"
"JAM2"	"Artery"	"Cluster 16"
"MMP28"	"Artery"	"Cluster 16"
"PALMD"	"Artery"	"Cluster 16"
"RNF144B"	"Artery"	"Cluster 16"
"GJA4"	"Artery"	"Cluster 16"
"PIK3R3"	"Artery"	"Cluster 16"
"PLAC9"	"Artery"	"Cluster 16"
"CALCRL"	"Artery"	"Cluster 16"
"ENTPD1"	"Artery"	"Cluster 16"
"GIMAP8"	"Artery"	"Cluster 16"
"GLUL"	"Artery"	"Cluster 16"
"OCIAD2"	"Artery"	"Cluster 16"
"ATOH8"	"Artery"	"Cluster 16"
"CXCL3"	"Artery"	"Cluster 16"
"SOCS2"	"Artery"	"Cluster 16"
"CYP1B1"	"Artery"	"Cluster 16"
"MED24"	"Artery"	"Cluster 16"
"IL6"	"Artery"	"Cluster 16"
"CXCL1"	"Artery"	"Cluster 16"
"CSF3"	"Artery"	"Cluster 16"
"ACKR1"	"Vein"	"Cluster 17"
"CPE"	"Vein"	"Cluster 17"
"PTGDS"	"Vein"	"Cluster 17"
"PRSS23"	"Vein"	"Cluster 17"
"VWF"	"Vein"	"Cluster 17"
"C7"	"Vein"	"Cluster 17"
"CLU"	"Vein"	"Cluster 17"
"PLA1A"	"Vein"	"Cluster 17"
"IL1R1"	"Vein"	"Cluster 17"
"NNMT"	"Vein"	"Cluster 17"
"PTGIS"	"Vein"	"Cluster 17"
"RGS5"	"Vein"	"Cluster 17"
"SRPX"	"Vein"	"Cluster 17"
"PLAT"	"Vein"	"Cluster 17"
"ABI3BP"	"Vein"	"Cluster 17"
"CCL23"	"Vein"	"Cluster 17"
"LIFR"	"Vein"	"Cluster 17"
"CYP1B1"	"Vein"	"Cluster 17"
"FTH1"	"Vein"	"Cluster 17"
"SLCO2A1"	"Vein"	"Cluster 17"
"SELP"	"Vein"	"Cluster 17"
"ADGRG6"	"Vein"	"Cluster 17"
"VCAM1"	"Vein"	"Cluster 17"
"RSPO3"	"Vein"	"Cluster 17"
"PRCP"	"Vein"	"Cluster 17"
"PTPRB"	"Vein"	"Cluster 17"
"RNASE1"	"Vein"	"Cluster 17"
"MGP"	"Vein"	"Cluster 17"
"TIMP1"	"Vein"	"Cluster 17"
"NCOA7"	"Vein"	"Cluster 17"
"GSN"	"Vein"	"Cluster 17"
"MIAT"	"Vein"	"Cluster 17"
"GPX3"	"Vein"	"Cluster 17"
"TGM2"	"Vein"	"Cluster 17"
"LYST"	"Vein"	"Cluster 17"
"CCL15"	"Vein"	"Cluster 17"
"NAMPT"	"Vein"	"Cluster 17"
"DUSP23"	"Vein"	"Cluster 17"
"TMEM176B"	"Vein"	"Cluster 17"
"PTGS1"	"Vein"	"Cluster 17"
"CADM3-AS1"	"Vein"	"Cluster 17"
"CRIM1"	"Vein"	"Cluster 17"
"IL6ST"	"Vein"	"Cluster 17"
"LYVE1"	"Vein"	"Cluster 17"
"RAMP3"	"Vein"	"Cluster 17"
"IL33"	"Vein"	"Cluster 17"
"CXCL2"	"Vein"	"Cluster 17"
"SOD2"	"Vein"	"Cluster 17"
"SOX7"	"Vein"	"Cluster 17"
"ASRGL1"	"Vein"	"Cluster 17"
"TNFAIP3"	"Vein"	"Cluster 17"
"NDRG1"	"Vein"	"Cluster 17"
"SORBS2"	"Vein"	"Cluster 17"
"NR2F2"	"Vein"	"Cluster 17"
"MT1X"	"Vein"	"Cluster 17"
"ADAMTS9"	"Vein"	"Cluster 17"
"PLAC9"	"Vein"	"Cluster 17"
"SELE"	"Vein"	"Cluster 17"
"TNFRSF11B"	"Vein"	"Cluster 17"
"UPP1"	"Vein"	"Cluster 17"
"TMEM2"	"Vein"	"Cluster 17"
"C1QTNF1"	"Vein"	"Cluster 17"
"HILPDA"	"Vein"	"Cluster 17"
"MMP28"	"Vein"	"Cluster 17"
"ENTPD1"	"Vein"	"Cluster 17"
"MT2A"	"Vein"	"Cluster 17"
"NQO1"	"Vein"	"Cluster 17"
"IGFBP2"	"Vein"	"Cluster 17"
"ACTN1"	"Vein"	"Cluster 17"
"LITAF"	"Vein"	"Cluster 17"
"KCTD12"	"Vein"	"Cluster 17"
"C1R"	"Vein"	"Cluster 17"
"IER3"	"Vein"	"Cluster 17"
"PPAP2B"	"Vein"	"Cluster 17"
"FAM167B"	"Vein"	"Cluster 17"
"EGR1"	"Vein"	"Cluster 17"
"HSPG2"	"Vein"	"Cluster 17"
"TCN2"	"Vein"	"Cluster 17"
"FSTL3"	"Vein"	"Cluster 17"
"DAAM1"	"Vein"	"Cluster 17"
"ERRFI1"	"Vein"	"Cluster 17"
"MT1A"	"Vein"	"Cluster 17"
"LTC4S"	"Vein"	"Cluster 17"
"BIRC3"	"Vein"	"Cluster 17"
"ZC3H12A"	"Vein"	"Cluster 17"
"FOXP1"	"Vein"	"Cluster 17"
"DNASE1L3"	"Vein"	"Cluster 17"
"ADAMTS4"	"Vein"	"Cluster 17"
"UBD"	"Vein"	"Cluster 17"
"CSF3"	"Vein"	"Cluster 17"
"SAT1"	"Vein"	"Cluster 17"
"LRG1"	"Vein"	"Cluster 17"
"HPGD"	"Capillary.Aerocyte"	"Cluster 18"
"EDNRB"	"Capillary.Aerocyte"	"Cluster 18"
"SOSTDC1"	"Capillary.Aerocyte"	"Cluster 18"
"HLA-E"	"Capillary.Aerocyte"	"Cluster 18"
"ITM2B"	"Capillary.Aerocyte"	"Cluster 18"
"EMCN"	"Capillary.Aerocyte"	"Cluster 18"
"S100A3"	"Capillary.Aerocyte"	"Cluster 18"
"S100A4"	"Capillary.Aerocyte"	"Cluster 18"
"B2M"	"Capillary.Aerocyte"	"Cluster 18"
"ICAM2"	"Capillary.Aerocyte"	"Cluster 18"
"S100A6"	"Capillary.Aerocyte"	"Cluster 18"
"AQP1"	"Capillary.Aerocyte"	"Cluster 18"
"FRY"	"Capillary.Aerocyte"	"Cluster 18"
"TUBA1A"	"Capillary.Aerocyte"	"Cluster 18"
"CA4"	"Capillary.Aerocyte"	"Cluster 18"
"TSPAN12"	"Capillary.Aerocyte"	"Cluster 18"
"HLA-C"	"Capillary.Aerocyte"	"Cluster 18"
"EMP2"	"Capillary.Aerocyte"	"Cluster 18"
"HLA-B"	"Capillary.Aerocyte"	"Cluster 18"
"B3GALNT1"	"Capillary.Aerocyte"	"Cluster 18"
"HLA-A"	"Capillary.Aerocyte"	"Cluster 18"
"IL1RL1"	"Capillary.Aerocyte"	"Cluster 18"
"SGK1"	"Capillary.Aerocyte"	"Cluster 18"
"ADIRF"	"Capillary.Aerocyte"	"Cluster 18"
"HLA-DPA1"	"Capillary.Aerocyte"	"Cluster 18"
"CYP3A5"	"Capillary.Aerocyte"	"Cluster 18"
"TMEM204"	"Capillary.Aerocyte"	"Cluster 18"
"CHST2"	"Capillary.Aerocyte"	"Cluster 18"
"CD74"	"Capillary.Aerocyte"	"Cluster 18"
"TSPAN15"	"Capillary.Aerocyte"	"Cluster 18"
"ESAM"	"Capillary.Aerocyte"	"Cluster 18"
"UBC"	"Capillary.Aerocyte"	"Cluster 18"
"HOPX"	"Capillary.Aerocyte"	"Cluster 18"
"DNAJC1"	"Capillary.Aerocyte"	"Cluster 18"
"JUN"	"Capillary.Aerocyte"	"Cluster 18"
"RAMP2"	"Capillary.Aerocyte"	"Cluster 18"
"APP"	"Capillary.Aerocyte"	"Cluster 18"
"ACE"	"Capillary.Aerocyte"	"Cluster 18"
"CNN3"	"Capillary.Aerocyte"	"Cluster 18"
"EXPH5"	"Capillary.Aerocyte"	"Cluster 18"
"TBX2"	"Capillary.Aerocyte"	"Cluster 18"
"ANXA3"	"Capillary.Aerocyte"	"Cluster 18"
"HLA-DRA"	"Capillary.Aerocyte"	"Cluster 18"
"IFNGR1"	"Capillary.Aerocyte"	"Cluster 18"
"CD83"	"Capillary.Aerocyte"	"Cluster 18"
"LHFP"	"Capillary.Aerocyte"	"Cluster 18"
"FAXDC2"	"Capillary.Aerocyte"	"Cluster 18"
"DHRS7"	"Capillary.Aerocyte"	"Cluster 18"
"ITM2A"	"Capillary.Aerocyte"	"Cluster 18"
"LAPTM4A"	"Capillary.Aerocyte"	"Cluster 18"
"MYO6"	"Capillary.Aerocyte"	"Cluster 18"
"CLDN5"	"Capillary.Aerocyte"	"Cluster 18"
"HLA-DQA1"	"Capillary.Aerocyte"	"Cluster 18"
"HLA-DQA2"	"Capillary.Aerocyte"	"Cluster 18"
"CAV2"	"Capillary.Aerocyte"	"Cluster 18"
