""	"Subtype1-Subtype2"	"Subtype1-Subtype3"	"Subtype1-Subtype4"	"Subtype1-Subtype5"	"Subtype1-Subtype6"	"Subtype2-Subtype3"	"Subtype2-Subtype4"	"Subtype2-Subtype5"	"Subtype2-Subtype6"	"Subtype3-Subtype4"	"Subtype3-Subtype5"	"Subtype3-Subtype6"	"Subtype4-Subtype5"	"Subtype4-Subtype6"	"Subtype5-Subtype6"
"AAMDC"	0.40329754490227	0.183471860491145	0.354480552038379	-0.0368294478612621	0.374206459137743	-0.219825684411124	-0.0488169928638905	-0.440126992763532	-0.0290910857645264	0.171008691547234	-0.220301308352407	0.190734598646598	-0.391309999899641	0.0197259070993641	0.411035906999005
"AAMP"	-0.34921054083318	-0.030731095441335	-0.240309093812532	-0.156708911824509	-0.140467986329551	0.318479445391845	0.108901447020647	0.19250162900867	0.208742554503629	-0.209577998371197	-0.125977816383174	-0.109736890888216	0.0836001819880226	0.0998411074829814	0.0162409254949588
"AAR2"	-0.0877000075889641	0.0450756577273404	-0.210808672467431	-0.425049608762742	-0.135255152414867	0.132775665316305	-0.123108664878467	-0.337349601173778	-0.0475551448259028	-0.255884330194771	-0.470125266490083	-0.180330810142207	-0.214240936295312	0.0755535200525638	0.289794456347875
"AARS"	-0.281824188835756	-0.186143013977432	-0.434723385704131	-0.0945990753573001	-0.254153384909963	0.0956811748583247	-0.152899196868375	0.187225113478456	0.0276708039257938	-0.248580371726699	0.0915439386201316	-0.0680103709325309	0.340124310346831	0.180570000794168	-0.159554309552662
"AARS2"	0.139868921720466	0.164781145881058	0.150916825177193	0.114227323869601	0.206191544976554	0.0249122241605927	0.0110479034567272	-0.0256415978508648	0.0663226232560885	-0.0138643207038655	-0.0505538220114575	0.0414103990954959	-0.036689501307592	0.0552747197993613	0.0919642211069533
"AARSD1"	0.018575218948495	-0.0893608621922743	-0.203357274354277	0.207830621370861	0.101856556962753	-0.107936081140769	-0.221932493302772	0.189255402422366	0.0832813380142581	-0.113996412162003	0.297191483563135	0.191217419155027	0.411187895725138	0.30521383131703	-0.105974064408108
"AASDH"	-0.37555802417498	-0.122128143300124	-0.235551560755291	-0.102356796472099	-0.385169979497794	0.253429880874856	0.140006463419689	0.27320122770288	-0.00961195532281386	-0.113423417455167	0.0197713468280246	-0.26304183619767	0.133194764283192	-0.149618418742502	-0.282813183025694
"AASDHPPT"	-0.259289083231801	0.0558091799325127	-0.107029041897097	-0.302756335391273	-0.117606362171746	0.315098263164313	0.152260041334704	-0.0434672521594728	0.141682721060055	-0.162838221829609	-0.358565515323786	-0.173415542104259	-0.195727293494177	-0.0105773202746493	0.185149973219527
"AASS"	0.41232883477455	0.00699157530308375	0.48421070133416	0.321950001961284	0.0463657106568617	-0.405337259471467	0.07188186655961	-0.0903788328132663	-0.365963124117689	0.477219126031077	0.3149584266582	0.039374135353778	-0.162260699372876	-0.437844990677299	-0.275584291304422
"AATF"	-0.308018331182704	-0.0446957825650585	-0.35810520674245	-0.323850074472668	-0.459723759972487	0.263322548617646	-0.0500868755597463	-0.015831743289964	-0.151705428789783	-0.313409424177392	-0.27915429190761	-0.415027977407428	0.0342551322697822	-0.101618553230037	-0.135873685499819
"AATK"	-0.0551367281287099	0.132173906255288	0.0845823042085754	0.420707910905451	0.202351813693911	0.187310634383998	0.139719032337285	0.475844639034161	0.257488541822621	-0.0475916020467131	0.288534004650163	0.0701779074386222	0.336125606696876	0.117769509485335	-0.21835609721154
