set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
CDH17	26	19	19	5	10	7	4	2	4	24	3	6	22	19	17	18	16	26	2
CDH2	14	10	17	7	15	17	11	29	8	23	7	14	6	10	28	11	16	29	6
CDH20	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
CDH23	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	4	1	1
CDH24	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	3	1	1
CDH26	NA	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	3	2	1
CDH3	21	19	20	25	15	18	18	20	20	19	24	23	21	22	25	26	16	26	15
CDH4	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0
CDH5	24	22	23	23	22	23	24	27	24	19	22	24	21	22	21	25	16	27	19
CDH6	9	8	6	6	6	11	6	9	8	10	9	8	8	12	9	8	16	12	6
CDH7	NA	NA	NA	NA	NA	1	1	NA	0	1	NA	0	NA	NA	3	NA	4	3	0
CDHR2	8	NA	2	1	1	NA	NA	1	NA	7	NA	NA	NA	NA	NA	NA	6	8	1
CDHR3	NA	1	1	1	1	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	7	2	1
CDHR5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	2
CDIP1	1	1	NA	1	NA	1	1	1	NA	NA	NA	2	NA	1	1	NA	9	2	1
CDIPT	7	5	6	8	6	6	8	8	8	8	8	7	8	8	8	9	16	9	5
CDK1	20	17	19	18	20	15	16	16	17	18	16	17	17	17	18	16	16	20	15
CDK10	2	1	2	2	1	3	2	3	2	2	2	2	3	1	4	5	16	5	1
CDK11A	1	3	1	1	0	0	0	1	0	1	1	0	1	2	0	0	9	3	0
CDK11B	4	3	4	3	1	3	3	3	2	3	3	1	1	3	3	4	16	4	1
CDK12	26	27	22	22	16	21	20	22	21	26	28	18	22	22	22	26	16	28	16
CDK13	24	19	22	20	16	27	20	24	18	22	21	19	15	20	19	19	16	27	15
CDK14	12	6	8	8	10	9	10	13	9	9	9	9	7	12	6	8	16	13	6
CDK16	7	9	9	11	8	12	11	9	12	12	12	10	10	10	12	13	16	13	7
CDK17	10	11	10	9	6	10	12	6	8	9	9	7	9	9	11	14	16	14	6
CDK18	9	8	12	8	9	9	8	7	8	12	8	13	11	7	13	14	16	14	7
CDK19	4	6	6	9	4	9	5	8	6	8	8	7	5	8	7	5	16	9	4
CDK2	21	17	18	19	13	15	16	17	17	18	15	18	15	17	17	17	16	21	13
CDK20	2	0	0	1	0	1	1	0	0	0	0	0	1	2	1	0	7	2	0
CDK2AP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	1	1
CDK3	1	1	1	1	1	1	1	1	1	1	0	1	0	1	2	0	13	2	0
CDK4	13	11	14	15	9	16	14	13	13	15	12	13	15	16	14	11	16	16	9
CDK5	18	16	17	19	18	19	20	18	16	20	19	18	17	18	16	17	16	20	16
CDK5RAP1	9	15	12	12	8	14	8	10	9	13	11	10	11	10	9	15	16	15	8
CDK5RAP2	45	40	42	41	44	48	39	39	38	43	46	41	38	41	43	40	16	48	38
CDK5RAP3	27	27	31	33	24	26	26	25	26	27	24	26	28	26	23	26	16	33	23
CDK6	15	16	16	16	13	14	16	15	15	15	16	14	16	15	14	17	16	17	13
CDK7	10	11	10	8	8	8	8	7	12	10	9	10	10	9	8	9	16	12	7
CDK8	1	4	3	3	2	3	1	2	1	3	2	1	3	4	2	4	16	4	1
CDK9	16	12	14	16	14	12	11	13	14	15	12	14	13	14	12	13	16	16	11
CDKAL1	18	21	20	21	14	16	19	17	18	21	14	20	20	19	21	23	16	23	14
CDKL1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	3	1	0
CDKL2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	5	1	0
CDKL5	5	3	8	9	7	7	5	6	7	4	4	6	6	9	7	4	16	9	3
CDKN1A	4	3	3	6	4	4	2	5	3	4	4	4	4	2	4	3	16	6	2
CDKN1B	5	5	5	6	3	6	5	5	4	6	4	5	5	5	7	5	16	7	3
CDKN1C	2	1	1	1	2	2	1	1	1	1	1	2	1	3	2	2	16	3	1
CDKN2A	2	1	1	1	1	3	3	2	1	2	1	1	1	3	5	3	16	5	1
CDKN2AIP	27	23	27	29	26	30	27	27	29	28	27	31	27	26	27	29	16	31	23
CDKN2AIPNL	5	5	2	4	3	5	3	4	4	4	4	4	5	5	5	4	16	5	2
CDKN2B	2	3	2	1	2	2	2	2	2	1	1	2	2	3	1	3	16	3	1
CDKN2C	6	5	6	7	5	7	5	6	6	5	5	6	4	6	5	6	16	7	4
CDKN2D	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	1	NA	NA	1	1	6	1	1
CDKN3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	1
CDNF	1	1	1	1	2	1	NA	1	1	1	1	1	1	1	1	1	15	2	1
CDO1	1	1	1	1	1	NA	1	1	1	1	2	1	1	1	1	1	15	2	1
CDON	NA	1	2	2	NA	1	NA	1	NA	4	2	2	NA	1	3	NA	10	4	1
CDPF1	1	2	2	1	2	2	NA	2	1	2	1	2	NA	1	1	1	14	2	1
CDR2	2	1	1	3	0	2	1	0	1	2	2	1	2	2	2	3	14	3	0
CDR2L	11	9	11	14	8	9	9	10	10	12	13	9	7	13	14	12	16	14	7
CDS1	9	9	8	9	8	10	10	9	8	8	8	8	7	8	9	9	16	10	7
CDS2	5	7	6	6	5	7	7	5	6	6	5	6	6	7	6	6	16	7	5
CDT1	2	3	2	3	1	1	3	1	1	2	1	NA	1	3	2	1	15	3	1
CDV3	15	14	16	18	15	13	13	13	13	12	12	13	14	14	11	13	16	18	11
CDX2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
CDYL	12	12	14	12	10	13	13	10	11	9	13	11	11	10	12	16	16	16	9
CDYL2	4	3	5	2	5	6	3	5	3	4	3	3	3	1	2	2	16	6	1
CEACAM1	6	7	6	6	3	5	6	6	6	5	6	8	3	7	5	5	16	8	3
CEACAM21	1	1	NA	1	NA	1	NA	NA	NA	1	NA	NA	1	1	1	NA	8	1	1
CEACAM3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
CEACAM5	7	7	6	7	5	8	8	8	8	7	7	6	8	7	7	11	16	11	5
CEACAM6	5	5	5	5	5	5	5	5	5	6	5	5	6	5	5	5	16	6	5
CEACAM7	3	1	2	1	NA	1	1	1	3	3	1	1	1	3	1	3	15	3	1
CEACAM8	4	6	6	4	4	4	4	5	4	5	5	5	6	5	4	3	16	6	3
CEBPA	3	3	2	2	2	4	3	3	2	4	5	3	3	3	3	4	16	5	2
CEBPB	8	7	8	8	9	8	8	8	9	8	9	9	6	8	8	9	16	9	6
CEBPD	2	2	2	1	3	3	3	3	2	1	3	1	3	1	2	3	16	3	1
CEBPG	3	1	2	1	NA	2	1	1	NA	1	1	NA	NA	2	2	NA	11	3	1
CEBPZ	42	40	41	43	38	41	42	38	37	36	47	36	49	46	40	45	16	49	36
CEBPZOS	2	3	2	NA	NA	NA	NA	NA	1	1	1	NA	1	NA	NA	2	8	3	1
CECR2	4	4	4	4	6	17	12	6	6	6	9	3	10	6	20	3	16	20	3
CEL	NA	2	1	8	1	1	1	1	1	NA	1	2	2	1	1	2	14	8	1
CELA3B	NA	1	1	1	NA	1	NA	1	NA	NA	1	1	NA	1	NA	NA	8	1	1
CELF1	20	19	25	24	22	25	24	25	26	26	23	22	27	26	24	22	16	27	19
CELF2	13	15	20	18	17	14	15	15	18	17	19	15	21	16	17	16	16	21	13
CELF3	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	1	1
CELF4	NA	NA	0	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	1	NA	2	1	0
CELSR1	22	32	30	30	34	32	38	30	40	24	37	22	30	30	35	30	16	40	22
CELSR2	13	5	15	23	8	8	5	13	5	12	4	14	6	5	12	8	16	23	4
CELSR3	1	NA	NA	NA	2	2	NA	1	NA	2	2	NA	9	NA	1	1	9	9	1
CEMIP	9	19	15	19	11	9	11	21	14	15	11	22	23	13	12	14	16	23	9
CEND1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	2	1
CENPA	NA	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	5	1	1
CENPB	11	11	9	10	9	10	9	11	8	13	9	11	8	10	11	11	16	13	8
CENPC	36	39	36	43	29	42	40	37	43	33	34	38	32	32	38	33	16	43	29
CENPE	8	15	13	19	6	19	7	15	5	15	13	5	10	12	19	7	16	19	5
CENPF	120	104	103	85	81	87	93	95	60	112	76	48	56	85	107	53	16	120	48
CENPH	9	5	6	8	3	8	6	6	3	7	3	3	5	8	8	3	16	9	3
CENPI	4	2	5	4	3	5	4	5	3	6	3	3	3	4	5	3	16	6	2
CENPJ	2	2	NA	2	NA	3	1	1	NA	2	4	2	2	3	4	2	13	4	1
CENPK	6	3	3	4	3	4	3	4	2	6	7	4	2	5	5	3	16	7	2
CENPL	2	2	3	2	1	1	2	3	1	2	2	2	2	1	1	2	16	3	1
CENPM	3	3	3	3	2	4	4	5	4	4	4	4	4	4	5	4	16	5	2
CENPN	6	4	7	7	2	8	6	7	4	6	6	5	4	6	6	4	16	8	2
CENPO	1	1	2	2	NA	1	1	1	NA	1	NA	NA	NA	2	1	3	11	3	1
CENPP	1	1	2	2	1	1	2	NA	1	3	2	NA	NA	2	1	1	13	3	1
CENPQ	4	NA	2	4	3	3	1	4	1	4	3	1	1	5	5	2	15	5	1
CENPT	3	3	3	3	1	4	2	1	NA	4	4	3	2	3	6	1	15	6	1
CENPU	5	5	3	8	5	9	4	6	3	6	5	4	2	6	11	5	16	11	2
CENPV	7	9	7	6	7	6	7	7	8	7	7	7	6	8	7	7	16	9	6
CENPW	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
CENPX	NA	1	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	5	1	1
CEP104	7	9	9	14	9	9	12	9	8	6	10	11	11	7	8	11	16	14	6
CEP112	21	18	14	14	25	16	22	24	20	16	20	17	19	17	24	19	16	25	14
CEP120	20	17	17	19	19	16	14	17	19	10	18	16	14	17	18	19	16	20	10
CEP128	27	28	29	29	21	28	32	23	31	27	29	31	28	34	35	31	16	35	21
CEP131	45	37	40	41	46	42	45	36	41	45	48	39	40	45	50	41	16	50	36
CEP135	42	34	40	37	37	41	41	34	43	37	41	35	35	41	33	40	16	43	33
CEP152	16	13	11	14	8	11	8	8	2	10	8	7	2	13	12	11	16	16	2
CEP162	10	2	4	5	3	7	5	3	3	7	4	4	2	2	2	3	16	10	2
CEP164	5	5	4	6	2	7	2	8	5	4	9	3	4	5	8	5	16	9	2
CEP170	74	73	61	55	62	61	71	60	61	67	60	64	73	64	58	58	16	74	55
CEP170B	35	36	32	39	39	34	39	41	32	37	41	30	38	30	34	44	16	44	30
CEP19	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	1
CEP192	27	28	26	35	31	35	34	36	25	31	30	27	27	33	32	31	16	36	25
CEP250	71	58	69	77	70	74	68	67	61	62	74	66	53	83	65	64	16	83	53
CEP290	39	32	33	37	43	45	37	38	41	38	46	34	35	45	37	39	16	46	32
CEP295	3	4	2	5	2	7	3	2	2	4	3	2	2	4	7	3	16	7	2
CEP350	31	32	39	32	32	42	21	32	22	32	36	34	30	35	31	32	16	42	21
CEP41	16	14	15	18	13	13	16	18	14	15	13	17	13	14	19	19	16	19	13
CEP44	10	10	9	9	13	13	10	9	7	6	8	8	14	9	10	9	16	14	6
CEP55	14	14	14	13	11	14	9	14	11	15	11	13	11	13	16	19	16	19	9
CEP57	7	7	6	7	6	7	7	7	8	7	8	9	8	11	7	9	16	11	6
CEP57L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1
CEP63	8	10	6	8	5	8	7	5	6	4	9	8	8	8	8	6	16	10	4
CEP68	7	6	7	10	8	10	8	9	9	5	11	7	6	5	6	6	16	11	5
CEP70	1	3	4	2	3	4	4	2	1	3	1	2	1	3	4	2	16	4	1
CEP72	NA	4	3	1	NA	1	1	2	NA	2	1	NA	NA	NA	3	NA	9	4	1
CEP76	9	5	8	4	4	6	2	6	3	8	3	2	6	5	6	5	16	9	2
CEP78	11	10	13	7	9	9	11	9	6	14	7	6	7	10	8	9	16	14	6
CEP83	11	7	10	11	7	16	12	14	8	11	14	10	8	12	10	6	16	16	6
CEP85	11	9	10	13	10	10	11	12	9	12	12	10	11	12	14	8	16	14	8
CEP85L	1	1	NA	1	NA	3	NA	2	1	1	2	2	1	3	1	3	13	3	1
CEP89	7	4	9	8	10	13	9	11	10	9	14	7	8	10	7	7	16	14	4
CEP95	5	4	4	5	6	5	6	4	7	3	4	3	3	5	7	4	16	7	3
CEP97	26	22	22	24	22	27	31	25	27	30	23	20	28	22	24	27	16	31	20
CEPT1	1	2	4	3	1	2	4	1	2	2	1	1	NA	1	2	2	15	4	1
CERCAM	8	6	7	8	9	11	7	10	6	7	10	9	7	8	11	7	16	11	6
CERK	5	5	2	3	3	4	2	4	6	5	4	4	3	3	3	3	16	6	2
CERS1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
CERS2	8	8	7	7	8	8	7	8	4	8	7	6	6	4	8	5	16	8	4
CERS3	3	NA	NA	4	1	3	1	2	3	1	2	1	1	NA	1	2	13	4	1
CERS4	NA	4	1	NA	1	2	2	2	3	4	1	1	NA	2	1	2	13	4	1
CERS5	2	1	2	5	2	2	2	4	2	4	NA	1	1	NA	1	2	14	5	1
CERS6	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	2	16	3	2
CES1	39	45	39	43	50	48	44	49	45	44	50	40	49	39	42	53	16	53	39
CES2	14	7	9	14	15	14	11	12	13	12	10	10	17	7	9	11	16	17	7
CES3	NA	2	NA	4	7	6	6	1	4	NA	8	6	4	5	5	5	13	8	1
CETN2	8	7	12	10	8	11	11	10	9	11	12	10	7	10	11	10	16	12	7
CETN3	10	9	13	11	10	10	9	10	9	10	12	9	9	11	9	9	16	13	9
CETP	9	4	9	5	5	3	5	6	7	5	5	4	3	5	4	4	16	9	3
CFAP157	NA	NA	NA	1	NA	1	NA	1	1	1	2	NA	1	NA	NA	NA	7	2	1
CFAP161	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	1	1
CFAP20	10	11	10	11	10	11	10	10	7	10	9	11	10	11	10	9	16	11	7
CFAP36	14	11	13	14	12	13	14	16	14	14	11	14	12	12	13	12	16	16	11
CFAP43	1	NA	NA	NA	NA	NA	NA	1	1	NA	4	1	NA	NA	1	NA	6	4	1
CFAP45	1	1	0	1	5	1	3	0	3	5	7	NA	2	3	1	0	12	7	0
CFAP46	2	2	1	2	2	1	2	1	1	1	1	1	2	1	1	1	16	2	1
CFAP47	NA	NA	1	1	1	1	NA	NA	1	2	2	1	1	1	NA	NA	10	2	1
CFAP52	1	NA	NA	NA	1	NA	4	NA	NA	1	4	NA	NA	NA	NA	1	6	4	1
CFAP53	1	NA	NA	NA	1	1	1	NA	1	1	6	1	NA	NA	NA	NA	8	6	1
CFAP54	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	4	1	1
CFAP57	1	1	NA	1	5	NA	2	1	NA	1	6	NA	2	NA	NA	1	10	6	1
CFAP58	2	1	0	1	4	0	5	0	5	3	6	0	2	0	0	1	10	6	0
CFAP70	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	3	1	1
CFAP74	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	3	1	1
CFAP77	NA	NA	NA	NA	1	NA	1	NA	2	2	2	NA	NA	NA	NA	NA	5	2	1
CFAP97	5	1	2	5	5	6	4	5	4	3	2	4	5	2	4	3	16	6	1
CFAP99	1	1	NA	NA	3	NA	1	NA	3	1	2	1	2	NA	NA	NA	9	3	1
CFB	1	1	0	1	1	1	1	2	1	1	1	0	1	1	1	1	14	2	0
CFD	7	5	7	7	7	7	6	5	6	6	6	5	5	6	7	8	16	8	5
CFDP1	13	12	11	14	13	12	10	11	12	10	13	13	12	12	13	12	16	14	10
CFH	61	63	65	66	64	61	64	66	63	59	61	64	61	63	62	63	16	66	59
CFHR1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	16	2	1
CFHR3	2	2	3	4	4	2	3	4	2	2	4	3	3	3	3	3	16	4	2
CFHR4	4	2	1	1	3	2	2	3	3	3	2	2	2	2	2	2	16	4	1
CFHR5	12	11	12	12	10	15	13	18	13	11	12	13	13	10	13	16	16	18	10
CFI	3	3	3	2	3	2	2	2	3	3	3	2	2	2	2	2	16	3	2
CFL1	14	14	22	22	11	12	12	12	13	12	13	12	12	12	12	12	16	22	11
CFL2	9	10	11	13	10	10	10	10	11	9	10	10	9	9	11	10	16	13	9
CFLAR	6	9	6	8	10	5	8	8	9	5	10	6	5	7	9	8	16	10	5
CFP	9	9	8	9	7	6	7	10	9	8	8	10	11	10	8	9	16	11	6
CFTR	NA	1	3	11	NA	3	1	4	NA	4	2	1	NA	NA	NA	1	10	11	1
CGA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	3	1	1
CGAS	18	21	19	22	14	16	17	21	21	18	17	20	16	21	19	20	16	22	14
CGGBP1	8	9	10	9	8	10	9	9	9	10	10	10	10	8	10	10	16	10	8
CGN	74	76	84	78	75	84	74	62	82	81	80	68	77	80	74	70	16	84	62
CGNL1	54	58	38	44	58	54	46	49	55	45	57	47	50	36	41	47	16	58	36
CGREF1	3	NA	3	NA	3	1	1	1	2	2	1	1	2	2	1	1	14	3	1
CGRRF1	2	2	2	2	2	3	2	4	3	4	3	3	3	2	3	2	16	4	2
CH25H	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
CHAC1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1
CHAC2	6	4	3	5	4	4	5	4	4	4	6	5	4	5	6	5	16	6	3
CHAD	8	3	2	4	NA	7	2	2	2	2	6	2	1	5	1	1	15	8	1
CHAF1A	16	14	12	18	14	15	13	16	9	15	13	10	13	17	19	14	16	19	9
CHAF1B	10	8	9	9	9	10	10	11	5	14	16	9	10	10	12	7	16	16	5
CHAMP1	34	38	42	36	27	33	35	30	30	42	37	35	36	41	40	44	16	44	27
CHAT	NA	NA	NA	11	2	NA	NA	1	NA	NA	NA	NA	11	NA	NA	2	5	11	1
CHCHD1	2	2	3	4	3	4	3	4	3	4	3	4	3	3	3	3	16	4	2
CHCHD10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	1	1
CHCHD2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	16	2	1
CHCHD3	17	17	23	22	18	21	17	17	19	19	18	19	22	19	19	17	16	23	17
CHCHD4	4	3	4	5	4	4	4	3	4	4	5	5	5	4	4	4	16	5	3
CHCHD5	1	2	3	2	2	2	1	1	2	2	3	3	2	2	1	2	16	3	1
CHCHD6	10	10	8	10	10	10	10	10	8	7	10	10	11	10	11	11	16	11	7
CHCHD7	NA	1	1	1	NA	NA	1	1	1	NA	1	1	NA	NA	NA	NA	8	1	1
CHD1	18	7	11	10	7	8	12	11	3	8	12	7	4	4	7	7	16	18	3
CHD1L	33	29	32	31	28	28	27	28	29	32	34	26	27	31	26	32	16	34	26
CHD2	28	26	20	21	12	21	21	16	16	24	22	10	23	23	24	20	16	28	10
CHD3	35	31	38	44	35	39	33	38	36	42	40	30	40	33	40	31	16	44	30
CHD4	82	82	107	102	85	88	84	89	81	87	87	74	79	84	84	78	16	107	74
CHD6	34	38	33	31	30	43	35	32	22	49	30	31	30	32	42	24	16	49	22
CHD7	22	15	23	19	15	23	24	23	17	28	17	17	15	19	39	14	16	39	14
CHD8	37	31	23	27	19	30	29	20	15	27	28	18	23	25	26	24	16	37	15
CHD9	2	1	1	0	0	0	1	2	1	1	1	0	0	3	1	0	10	3	0
CHDH	18	16	15	18	21	16	16	17	13	19	14	22	15	14	17	17	16	22	13
CHEK1	13	13	14	10	6	10	11	15	6	12	12	9	7	12	11	9	16	15	6
CHEK2	15	14	18	12	14	14	16	13	11	18	18	14	18	18	14	15	16	18	11
CHERP	21	14	16	18	13	10	11	15	13	18	19	11	9	16	12	10	16	21	9
CHFR	7	8	9	6	6	10	5	6	4	11	7	7	5	6	6	8	16	11	4
CHGA	29	1	3	2	5	6	14	5	2	31	9	2	1	4	21	3	16	31	1
CHGB	28	12	1	1	1	2	10	4	1	13	1	2	6	7	1	1	16	28	1
CHI3L1	12	12	11	14	10	9	13	11	10	14	11	12	10	10	14	10	16	14	9
CHI3L2	1	1	1	2	NA	1	NA	4	1	1	NA	1	NA	1	NA	NA	10	4	1
CHIA	1	NA	1	NA	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	5	1	1
CHIC2	2	1	1	1	2	1	3	1	1	2	2	2	1	2	2	1	16	3	1
CHID1	22	24	23	21	20	20	21	19	21	21	20	22	21	24	22	20	16	24	19
CHIT1	17	19	20	19	19	14	12	15	15	20	20	18	23	14	18	14	16	23	12
CHKA	11	14	12	10	12	12	9	13	11	11	9	11	11	12	10	11	16	14	9
CHKB	15	20	16	15	17	12	19	17	15	18	18	17	20	15	12	18	16	20	12
CHL1	11	29	17	14	18	15	18	19	14	19	14	15	15	14	10	14	16	29	10
CHM	16	17	13	13	12	12	12	14	13	15	14	16	10	14	16	14	16	17	10
CHML	10	13	15	7	6	11	7	10	10	12	11	12	10	14	10	11	16	15	6
CHMP1A	8	10	8	10	5	6	7	10	8	9	9	9	9	8	8	9	16	10	5
CHMP1B	6	7	7	6	6	7	5	9	9	5	8	7	8	8	6	6	16	9	5
CHMP2A	16	13	17	16	13	15	14	14	15	15	14	16	16	16	15	15	16	17	13
CHMP2B	12	11	15	13	7	8	10	8	9	8	13	13	10	11	11	9	16	15	7
CHMP3	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	16	2	1
CHMP4A	2	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	16	2	1
CHMP4B	23	22	25	22	20	21	17	20	19	20	21	21	21	24	19	17	16	25	17
CHMP4C	8	9	13	10	9	11	12	9	9	10	12	6	7	10	9	9	16	13	6
CHMP5	9	7	9	9	6	6	7	6	6	6	7	5	6	8	7	7	16	9	5
CHMP6	11	11	8	9	10	12	8	12	11	9	10	10	8	8	6	9	16	12	6
CHMP7	20	16	21	22	19	18	19	21	18	19	20	18	18	16	18	19	16	22	16
CHN1	13	9	14	5	11	10	9	11	10	15	10	10	6	9	12	10	16	15	5
CHORDC1	22	21	24	22	19	22	20	21	21	20	22	21	21	21	24	28	16	28	19
CHP1	18	17	19	19	16	14	18	15	16	15	16	16	17	16	17	15	16	19	14
CHPF	15	12	11	12	12	12	7	12	14	10	7	12	13	11	8	14	16	15	7
CHPF2	19	23	17	11	12	14	15	19	14	16	15	17	19	19	18	19	16	23	11
CHPT1	3	1	NA	2	1	NA	2	NA	2	1	NA	NA	2	2	1	1	11	3	1
CHRAC1	2	2	2	4	2	2	1	2	1	2	2	2	2	2	2	2	16	4	1
CHRD	4	3	4	3	9	7	7	7	7	4	4	10	8	4	5	5	16	10	3
CHRDL1	6	7	7	4	5	3	9	7	6	3	3	5	4	6	3	5	16	9	3
CHRDL2	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	2	6	1	NA	NA	5	6	1
CHRM2	1	NA	NA	NA	1	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	5	1	1
CHRM3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
CHRM4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1
CHRNA1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	1	1
CHRNA5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	2	1	1
CHRNE	1	NA	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	14	1	1
CHST1	2	4	5	NA	1	2	2	2	1	6	NA	NA	2	1	2	1	13	6	1
CHST10	2	4	NA	3	3	3	3	3	1	4	3	1	3	3	2	3	15	4	1
CHST11	4	5	4	3	2	5	5	5	6	5	4	6	4	6	6	5	16	6	2
CHST12	9	7	10	8	9	10	10	9	9	9	6	12	7	12	10	9	16	12	6
CHST13	2	1	NA	NA	3	4	3	2	3	3	1	2	3	2	4	5	14	5	1
CHST14	8	8	7	6	7	7	7	7	8	10	8	10	9	10	10	7	16	10	6
CHST15	4	8	4	6	5	6	8	4	6	4	4	3	4	5	4	5	16	8	3
CHST2	5	3	6	5	8	8	9	8	6	7	8	7	6	5	4	9	16	9	3
CHST3	7	6	7	8	7	6	6	6	7	8	6	6	7	8	7	7	16	8	6
CHST4	1	NA	3	2	1	1	NA	1	NA	4	NA	1	NA	1	1	NA	10	4	1
CHST5	1	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	1	1	0
CHST6	0	NA	0	0	0	0	0	0	0	1	0	0	NA	2	NA	2	3	2	0
CHST7	1	2	1	NA	1	NA	1	1	1	NA	NA	1	1	1	2	3	12	3	1
CHST9	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	4	NA	NA	4	4	1
CHSY1	14	13	13	9	11	12	14	13	13	12	12	13	11	12	13	12	16	14	9
CHSY3	6	2	2	5	4	4	4	3	0	1	3	2	5	2	1	1	15	6	0
CHTF18	18	13	20	18	8	23	10	15	8	22	19	11	15	21	21	21	16	23	8
CHTF8	3	2	1	2	NA	3	2	2	NA	2	3	1	NA	3	2	2	13	3	1
CHTOP	6	6	7	6	6	6	6	6	6	6	6	6	6	6	5	5	16	7	5
CHUK	23	28	25	29	24	28	28	27	22	24	25	26	30	27	29	29	16	30	22
CIAO1	10	9	9	10	10	11	10	11	10	11	7	9	9	8	9	7	16	11	7
CIAPIN1	19	21	20	23	17	17	17	17	17	15	16	15	17	18	19	17	16	23	15
CIB1	10	12	12	10	11	10	14	10	13	12	12	11	14	10	9	11	16	14	9
CIC	34	27	27	36	32	30	33	27	26	32	30	31	31	34	26	37	16	37	26
CIITA	NA	1	NA	NA	1	NA	NA	1	1	1	1	1	NA	1	NA	NA	8	1	1
CILP	35	33	30	25	33	39	35	35	47	32	32	36	36	34	24	45	16	47	24
CILP2	5	7	19	7	15	14	10	19	21	8	13	17	17	9	5	17	16	21	5
CINP	5	4	3	6	5	6	6	5	3	3	3	3	4	4	3	5	16	6	3
CIP2A	27	23	19	23	19	22	21	20	18	21	23	23	25	27	24	23	16	27	18
CIR1	2	2	1	1	2	1	4	2	2	3	2	2	2	2	2	1	16	4	1
CIRBP	10	10	13	15	10	12	14	13	10	12	12	11	11	11	11	12	16	15	10
CISD1	6	7	7	5	5	8	5	6	5	5	6	7	5	5	7	7	16	8	5
CISD2	7	7	8	7	7	7	7	6	7	7	7	7	6	7	7	7	16	8	6
